customer_field;biqh_import_field;description;biqh_column_data_type;biqh_table_schema;biqh_parent_table_name;biqh_parent_column_name;biqh_relation_table_name;biqh_relation_column_name;biqh_relation_column_value;biqh_relation_column_data_type;biqh_link_table_name;remarks
EODConv5YMid;ConventionalSpreadMid5y;;decimal(38.15);dbo;Curve;ConventionalSpreadMid;Tenor;Code;5Y;nvarchar(50);Listing;
Conv5YBASpread;ConventionalBidAskSpread5y;;decimal(38.15);dbo;Curve;ConventionalBidAskSpread;Tenor;Code;5Y;nvarchar(50);Listing;
Conv5YBA1WMA;ConventionalBidAskSpread5y1w;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv5YBA1MMA;ConventionalBidAskSpread5y1m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv5YBA2MMA;ConventionalBidAskSpread5y2m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
5YUniquePP;UniquePricePoint5y;;int;dbo;Curve;UniquePricePoint;Tenor;Code;5Y;nvarchar(50);Listing;
5YUniquePP1WMA;UniquePricePoint5y1w;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
5YUniquePP1MMA;UniquePricePoint5y1m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
5YUniquePP2MMA;UniquePricePoint5y2m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
5YDealersCount;DealerQuoteSizeTenor5y;;int;dbo;Curve;DealerQuoteSizeTenor;Tenor;Code;5Y;nvarchar(50);Listing;
DC5Y1WMA;DealerQuoteSizeTenor5y1w;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC5Y1MMA;DealerQuoteSizeTenor5y1m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC5Y2MMA;DealerQuoteSizeTenor5y2m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
5YQuotesCount;QuoteSizeTenor5y;;int;dbo;Curve;QuoteSizeTenor;Tenor;Code;5Y;nvarchar(50);Listing;
QC5Y1WMA;QuoteSizeTenor5y1w;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC5Y1MMA;QuoteSizeTenor5y1m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC5Y2MMA;QuoteSizeTenor5y2m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODUpf7YMid;UpfrontValueMid7y;;decimal(38.15);dbo;Curve;UpfrontValueMid;Tenor;Code;7Y;nvarchar(50);Listing;
Upf7YBASpread;UpfrontBidAskSpread7y;;decimal(38.15);dbo;Curve;UpfrontBidAskSpread;Tenor;Code;7Y;nvarchar(50);Listing;
Upf7YBA1WMA;UpfrontBidAskSpread7y1w;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf7YBA1MMA;UpfrontBidAskSpread7y1m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf7YBA2MMA;UpfrontBidAskSpread7y2m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODConv7YMid;ConventionalSpreadMid7y;;decimal(38.15);dbo;Curve;ConventionalSpreadMid;Tenor;Code;7Y;nvarchar(50);Listing;
